#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-0.13492,3,76.748898
-2.347765,21,76.815915
-1.325289,12,76.853919
-1.868452,19,76.918974
-3.097225,29,77.019674
-0.814832,8,77.048098
-0.638442,7,77.074633
-0.642082,7,77.099151
-0.07683,2,77.107116
-0.411178,4,77.121361
-0.467398,5,77.141155
-1.426311,13,77.187116
-0.829276,9,77.221014
-0.221655,3,77.230979
-0.971777,9,77.266461
-1.546308,13,77.316776
-0.338859,4,77.33062
-0.409224,6,77.350733
-0.272775,4,77.36943
-0.582086,5,77.386537
-0.676523,10,77.422849
-0.242848,3,77.435441
-2.929489,25,77.520359
-0.459118,4,77.531374
-0.679006,6,77.548357
-0.159129,3,77.55687
-1.028201,13,77.606535
-2.989832,38,78.192981
-1.642977,17,78.253286
-0.626482,6,78.277427
-0.624118,8,78.311893
-0.519271,5,78.328952
-0.321013,4,78.342889
-0.718215,10,78.384506
-0.475081,4,78.401087
-0.662169,6,78.421658
-0.414266,5,78.439329
-1.071788,10,78.486421
-0.533295,6,78.5082
-0.777504,10,78.546328
-0.395964,5,78.564403
-1.97237,21,78.634439
-0.71883,7,78.659284
-0.142038,2,78.665558
-0.702015,7,78.692677
-0.25851,3,78.701007
-0.212302,3,78.713917
-0.373494,4,78.727928
-0.645109,7,78.752835
-0.173883,3,78.763624
-2.158287,20,78.835232
-1.710797,16,78.888445
-0.852287,9,78.923639
-0.382244,5,78.937974
-0.216398,3,78.946706
-0.964931,12,78.986275
-0.341949,4,78.998546
-1.368764,8,79.031576
-1.05405,13,79.074512
-0.715552,8,79.102715
-0.04269,1,79.108151
-0.884538,10,79.141239
-0.834892,9,79.172868
-0.279157,5,79.189649
-0.23117,3,79.201169
-0.437497,4,79.213044
-0.204682,3,79.223068
-0.838447,10,79.261616
-0.53316,6,79.283772
-1.432873,14,79.337676
-0.406416,4,79.350854
-0.353148,5,79.366075
-1.244978,11,79.403924
-0.493239,5,79.423595
-0.900073,10,79.459782
-0.377483,5,79.480051
-0.730844,9,79.513966
-1.002681,9,79.558739
-3.107512,35,79.69031
-0.900372,10,79.728764
-1.306784,14,79.777661
-0.940595,11,79.820073
-1.919103,17,79.883145
-0.315388,5,79.902351
-0.036294,1,79.90822
-0.979759,11,79.961053
-0.390156,4,79.971491
-3.335446,41,80.627648
-0.98005,11,80.672546
-1.094127,12,80.72975
-2.278872,21,80.811067
-0.361402,5,80.833943
-0.977791,8,80.859607
-0.873701,10,80.897986
-0.919439,12,80.937542
-1.161506,13,80.991582
-1.375215,12,81.035417
-0.12926,2,81.04144
-0.123566,2,81.050647
-0.640562,7,81.072917
-2.231131,21,81.148619
-0.190239,3,81.158857
-1.220337,13,81.211972
-0.239629,3,81.220583
-0.682289,5,81.23602
-1.319531,11,81.280746
-1.27534,13,81.323284
-1.811013,21,81.386144
-0.853569,12,81.428304
-0.385983,4,81.440472
-2.69624,27,81.539419
-0.985538,11,81.5722
-1.715241,22,81.639975
-0.306761,4,81.652343
-0.107557,2,81.660834
-0.650107,8,81.688338
-0.295935,4,81.700697
-0.247954,3,81.711882
-1.963153,18,81.782012
-1.139233,11,81.828729
-0.388678,5,81.848185
-0.155222,2,81.855778
-0.033207,1,81.860019
-1.433236,16,81.923086
-0.101791,2,81.930589
-3.981328,39,82.081374
-1.17249,14,82.137097
-0.182566,3,82.148818
-0.283854,4,82.165227
-0.246378,3,82.176574
-0.878847,9,82.212278
-0.328213,4,82.224152
-0.154653,2,82.229541
-2.057409,18,82.307122
-0.047692,1,82.311259
-3.518932,32,82.843537
-0.362773,4,82.860399
-0.457725,5,82.880681
-0.243355,3,82.892109
-0.809194,6,82.915646
-0.293462,4,82.932209
-0.92727,12,82.976985
-0.424217,4,82.993139
-0.394343,4,83.010855
-1.263122,15,83.06821
-3.039911,32,83.201504
-0.384295,4,83.214209
-0.46961,5,83.232437
-0.025848,1,83.236718
-0.617155,7,83.263238
-0.634315,5,83.283273
-1.218836,13,83.324534
-0.341857,5,83.340789
-0.54754,5,83.35639
-0.674952,8,83.382488
-0.275117,3,83.39148
-1.289,12,83.436725
-1.449874,12,83.485959
-0.82233,10,83.52508
-3.699832,41,83.672523
-0.404138,4,83.689026
-1.52947,14,83.731676
-0.916519,9,83.763474
-0.334527,4,83.774578
-1.367681,12,83.815085
-0.654498,9,83.841457
-0.452821,5,83.861352
-0.929549,9,83.895607
-0.417415,4,83.915301
-0.188263,3,83.926943
-0.719696,8,83.960395
-0.901636,7,83.987539
-0.451823,5,84.008051
-0.830749,12,84.049311
-1.236463,13,84.092104
-0.144733,2,84.099066
-0.462029,4,84.116078
-2.620642,24,84.205884
-2.41792,23,84.293494
-0.355674,4,84.308143
-0.466204,5,84.324704
-0.541386,5,84.347
-0.25183,3,84.359636
